scenario_id,checker,passed,confidence,reason
TA-06,C1,True,1.0,All temporal relationships valid
TA-06,C2,True,0.5,No locations in scenario to verify against
TA-06,C3,False,0.5845258235931396,Unknown mechanism (best match: gravel_windrow_instability at 0.42)
TA-06,C4,True,1.0,No spurious correlations detected
TA-06,C5,True,0.667,Coverage: 66.7% (2/3)
TA-06a,C1,True,1.0,All temporal relationships valid
TA-06a,C2,True,0.5,No locations in scenario to verify against
TA-06a,C3,False,0.5864551067352295,Unknown mechanism (best match: gravel_windrow_instability at 0.41)
TA-06a,C4,True,1.0,No spurious correlations detected
TA-06a,C5,True,0.667,Coverage: 66.7% (2/3)
TA-06b,C1,True,1.0,All temporal relationships valid
TA-06b,C2,True,0.5,No locations in scenario to verify against
TA-06b,C3,False,0.5996232032775879,Unknown mechanism (best match: wildlife_collision_braking_chain at 0.40)
TA-06b,C4,True,1.0,No spurious correlations detected
TA-06b,C5,True,0.667,Coverage: 66.7% (2/3)
PE-07,C1,True,1.0,All temporal relationships valid
PE-07,C2,True,0.5,No locations in scenario to verify against
PE-07,C3,False,0.6721777617931366,Unknown mechanism (best match: crowd_turbulence_bottleneck at 0.33)
PE-07,C4,True,1.0,No spurious correlations detected
PE-07,C5,True,0.533,Coverage: 66.7% (2/3)
PE-07a,C1,True,1.0,All temporal relationships valid
PE-07a,C2,True,0.5,No locations in scenario to verify against
PE-07a,C3,False,0.6421783566474915,Unknown mechanism (best match: crowd_turbulence_bottleneck at 0.36)
PE-07a,C4,True,1.0,No spurious correlations detected
PE-07a,C5,True,0.533,Coverage: 66.7% (2/3)
PE-07b,C1,True,1.0,All temporal relationships valid
PE-07b,C2,True,0.5,No locations in scenario to verify against
PE-07b,C3,False,0.6709782481193542,Unknown mechanism (best match: crowd_turbulence_bottleneck at 0.33)
PE-07b,C4,True,1.0,No spurious correlations detected
PE-07b,C5,True,0.533,Coverage: 66.7% (2/3)
H-11,C1,True,1.0,All temporal relationships valid
H-11,C2,True,0.5,No locations in scenario to verify against
H-11,C3,True,0.8,Recognized healthcare factor
H-11,C4,True,1.0,No spurious correlations detected
H-11,C5,True,0.4,Coverage: 50.0% (2/4)
H-11a,C1,True,1.0,All temporal relationships valid
H-11a,C2,True,0.5,No locations in scenario to verify against
H-11a,C3,True,0.8,Recognized healthcare factor
H-11a,C4,True,1.0,No spurious correlations detected
H-11a,C5,True,0.4,Coverage: 50.0% (2/4)
H-11b,C1,True,1.0,All temporal relationships valid
H-11b,C2,True,0.5,No locations in scenario to verify against
H-11b,C3,True,0.8,Recognized healthcare factor
H-11b,C4,True,1.0,No spurious correlations detected
H-11b,C5,True,0.4,Coverage: 50.0% (2/4)
WD-06,C1,True,1.0,All temporal relationships valid
WD-06,C2,True,0.5,No locations in scenario to verify against
WD-06,C3,False,0.5165832936763763,Unknown mechanism (best match: mirage_depth_distortion at 0.48)
WD-06,C4,True,1.0,No spurious correlations detected
WD-06,C5,True,0.533,Coverage: 66.7% (2/3)
WD-06a,C1,True,1.0,All temporal relationships valid
WD-06a,C2,True,0.5,No locations in scenario to verify against
WD-06a,C3,False,0.5309706926345825,Unknown mechanism (best match: mirage_depth_distortion at 0.47)
WD-06a,C4,True,1.0,No spurious correlations detected
WD-06a,C5,True,0.533,Coverage: 66.7% (2/3)
WD-06b,C1,True,1.0,All temporal relationships valid
WD-06b,C2,True,0.5,No locations in scenario to verify against
WD-06b,C3,False,0.5036051869392395,Unknown mechanism (best match: mirage_depth_distortion at 0.50)
WD-06b,C4,True,1.0,No spurious correlations detected
WD-06b,C5,True,0.533,Coverage: 66.7% (2/3)
TA-14,C1,True,1.0,All temporal relationships valid
TA-14,C2,True,0.5,No locations in scenario to verify against
TA-14,C3,False,0.5879794955253601,Unknown mechanism (best match: double_parking_congestion_trigger at 0.41)
TA-14,C4,True,1.0,No spurious correlations detected
TA-14,C5,True,0.667,Coverage: 66.7% (2/3)
TA-14a,C1,True,1.0,All temporal relationships valid
TA-14a,C2,True,0.5,No locations in scenario to verify against
TA-14a,C3,False,0.5141561627388,Unknown mechanism (best match: double_parking_congestion_trigger at 0.49)
TA-14a,C4,True,1.0,No spurious correlations detected
TA-14a,C5,True,0.667,Coverage: 66.7% (2/3)
TA-14b,C1,True,1.0,All temporal relationships valid
TA-14b,C2,True,0.5,No locations in scenario to verify against
TA-14b,C3,False,0.5797092914581299,Unknown mechanism (best match: double_parking_congestion_trigger at 0.42)
TA-14b,C4,True,1.0,No spurious correlations detected
TA-14b,C5,True,0.667,Coverage: 66.7% (2/3)
H-10,C1,True,1.0,All temporal relationships valid
H-10,C2,True,0.5,No locations in scenario to verify against
H-10,C3,True,0.8,Recognized healthcare factor
H-10,C4,True,1.0,No spurious correlations detected
